Max # dive periods/day Fluid Type 
 ---------- ------ 
 7 2 
 
 Start Diving Time 
 15 46 74 105 135 166 196 227 258 288 319 349 
 ---------- 
 6 6 6 6 6 6 6 6 6 6 6 6 
 8 8 8 8 8 8 8 8 8 8 8 8 
 10 10 10 10 10 10 10 10 10 10 10 10 
 12 12 12 12 12 12 12 12 12 12 12 12 
 14 14 14 14 14 14 14 14 14 14 14 14 
 16 16 16 16 16 16 16 16 16 16 16 16 
 18 18 18 18 18 18 18 18 18 18 18 18 
 
 Hour Fraction Diving 
 15 46 74 105 135 166 196 227 258 288 319 349 
 ---------- 
 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 
 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 
 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 
 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 
 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 
 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 
 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 0.82 
 
 Water Temperatures 
 15 46 74 105 135 166 196 227 258 288 319 349 
 ---------- 
 1.060001 1.650001 1.950001 1.030001 1.460001 1.750001 1.550001 1.910001 1.570001 1.615001 1.185001 1.790001 
 
 Water Speeds 
 15 46 74 105 135 166 196 227 258 288 319 349 
 ---------- 
 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 
 
 Dive Depth 
 15 46 74 105 135 166 196 227 258 288 319 349 
 ---------- 
 27.3 27.3 27.3 27.3 27.3 27.3 27.3 27.3 27.3 27.3 27.3 27.3 
 
 Percent Body Submerged 
 0 apndg or torso head neck tail 
 ---------- ----- ------ ------ 
 0.25 0.0 0.0 0.0 
